word, count
ša,4855
šarru,3053
ana,2828
bēlu,2742
ina,2740
šību,2101
mā,1435
lū,1127
lā,1114
gimru,969
māru,933
alāku,762
šapāru,702
manû,699
ūmu,697
ardu,675
tadānu,668
bītu,625
šulmu,624
ṣarpu,568
u,555
eqlu,536
libbu,507
imēru,494
išti,477
adi,476
qabû,467
nišu,456
epēšu,452
dabābu,443
ištu,440
muhhu,399
pānu,397
kunukku,393
annû,389
leqû,356
qû,349
dīnu,323
šakānu,321
immeru,297
pīhātu,268
wabālu,257
kī,257
ṣābu,249
anāku,249
šumma,246
līmu,246
sinništu,245
ṭāhu,245
kaspu,242
našû,239
hurāṣu,237
târu,235
šiqlu,228
sisû,227
rabû,226
ūma,221
napištu,213
kirû,200
ikkaru,196
laššu,195
ṭupšarru,194
Aššur,194
dullu,190
alpu,189
mannu,189
annûri,186
Nabu,182
ēkallu,178
biltu,174
šū,173
qātu,169
erēbu,168
ahu,168
karābu,167
ṭēmu,162
ilu,162
šaknu,158
ālu,155
ša-qurbūti,153
gammuru,146
tadnu,146
mātu,143
adanniš,142
kusāpu,140
šâlu,136
šuāti,136
ištēn,135
Ninua,133
mīnu,131
šanû,130
sahāru,126
šunu,126
dannu,125
šemû,124
aṣû,124
meʾatu,122
wadû,121
awīlu,121
zarpu,118
amāru,116
gabbu,116
Ištar,113
bašû,112
Mat-Aššur,109
ša-rēši,109
gabdi,108
akī,107
ṭābu,106
KI.MIN,102
atā,101
ṣabātu,99
egertu,98
buʾʾû,97
mārtu,97
pû,94
arhu,93
šattu,91
maṣṣartu,89
mahāru,89
Marduk,88
kurummatu,87
šikaru,87
Kalhu,86
qabūtu,84
erû,83
izuzzu,83
akālu,82
pūtu,82
tillatu,82
muk,81
birtu,80
sāmu,79
tašlīšu,78
nukaribbu,78
elû,78
šawiru,78
šangû,78
karānu,78
kaptukkû,78
imittu,76
parāku,76
ammar,74
paqādu,74
hūlu,74
nuk,74
šēpu,73
palāhu,72
šappatu,72
memēni,71
abu,71
awātu,69
šūtu,69
burku,69
Bel,67
issurri,67
zaqāpu,67
nāru,67
āšibu,67
eršu,67
Dur-Šarruken,65
bīt,65
halāqu,64
sulukannu,64
zēru,63
annaka,63
kīma,62
atta,62
ammatu,61
mašennu,61
aklu,61
qannu,59
Arbail,59
ginû,59
sallu,59
etēqu,58
Aššuraya,58
damqu,58
rabiu,57
zakû,56
kūm,56
šamnu,56
šumu,55
qaqqadu,55
tamkāru,55
naṣāru,55
maštītu,55
ašābu,54
qerēbu,53
karāru,53
šīru,53
birti,53
ša-šēpi,53
Tašritu,52
Harranu,52
emūqu,51
maddattu,51
ramû,51
balāṭu,51
adru,51
Šamaš,50
kalû,50
īnu,50
šaṭāru,49
kamsu,49
kullu,49
mādu,49
Libbi-ali,49
qaqqaru,49
hazannu,49
šušānu,49
azamru,49
gamāru,48
rēʾû,48
ṭuppu,48
šamaššammū,48
ṣupru,48
Elamtu,48
kitû,47
rēhtu,47
Mullissu,47
matāhu,46
gušūru,46
anīnu,45
tibnu,45
Ayaru,45
šukkallu,45
rēšu,45
yābilu,45
nishu,45
Nabu-šarru-uṣur,45
Sin,44
Adad,44
amtu,44
Arrapha,44
Urdu-Issar,44
peṣû,44
maziu,44
rebû,44
dâku,43
Nisannu,43
šarrūtu,43
lēʾu,42
nakru,42
sūtu,42
qallu,41
mû,41
Babili,41
šalmu,40
ṣalmu,40
Inurta,40
Deru,40
nasāhu,39
šaplu,39
šalšu,39
kāru,39
dišpu,39
arkû,39
kiššatu,39
ēpû,38
šalāmu,38
eleppu,38
kânu,38
Kakkullanu,38
ēkurru,37
nagû,37
abnu,37
ramānu,37
qadūtu,37
irtu,36
mahru,36
dibbu,36
arhiš,36
šadû,36
tartānu,36
sakru,36
šuʾu,36
līm,35
Kiṣir-Aššur,35
namāšu,35
dūru,35
mugerru,34
Gargamis,34
arādu,34
magāru,34
emēdu,34
pēmu,34
rūṭu,33
parzillu,33
ilku,33
daltu,33
kapru,33
atānu,33
maqātu,32
saddinu,32
rakāsu,32
aladlammû,32
abullu,32
Šarru-emuranni,32
Ubru-Nabu,32
kurkû,32
rubû,32
yâšim,31
hīṭu,31
qabaltu,31
eššu,31
Simanu,31
adû,31
petû,31
mesû,31
qablu,31
lītu,31
dannutu,31
Kanunayu,31
atû,30
mītu,30
kittu,30
būrtu,30
Ṭebetu,30
ummu,30
urnatu,30
Marduk-šarru-uṣur,30
ṣuhurtu,30
hubtu,29
batāqu,29
batqu,29
šī,29
Ṭab-šar-Aššur,29
Ṭab-ṣil-Ešarra,29
Elulu,29
ša-pēthalli,29
nusāhu,29
erēšu,28
ummiānu,28
redû,28
udīni,28
pahāru,28
hašlātu,28
Nabuʾa,28
Issar-duri,28
ṭīdu,28
Enlil,28
Bel-duri,27
epšu,27
ṭābtu,27
Addaru,27
mišlu,27
Šabaṭu,27
sukannīnu,27
sīrāšû,27
ṣibtu,27
andahšu,27
Sasi,27
Adad-nerari,27
ištēniš,26
arku,26
nāgiru,26
ša-pān-ēkalli,26
Nabu-belu-kaʾʾin,26
iškāru,26
dagālu,26
kūdanu,26
supurgillu,26
akalu,26
hinhinu,26
arqu,26
Il-yadaʾ,26
kašādu,25
mâtu,25
Sin-ahhe-eriba,25
šiddu,25
ṭūbu,25
unqu,25
tibku,25
pilku,25
têrtu,25
Nani,25
maqāṭu,25
serdu,25
ukultu,25
mūšabu,25
šeršerratu,25
nadānu,25
Raṣappa,24
ammiu,24
kīnu,24
šumēlu,24
pānû,24
libittu,24
rupšu,24
Arbailayu,24
lawû,24
karšu,24
šuqultu,24
hammurtu,24
Aššur-bani-apli,24
qurbu,23
Aplaya,23
ziqpu,23
kappu,23
Nikkal,23
Hindanu,23
Nergal,23
Šarru-lu-dari,23
alappānu,23
Ululayu,23
sisalhu,23
kayyamānu,22
nuhatimmu,22
ūla,22
Arzuhina,22
raksu,22
harādu,22
Sin-šarru-uṣur,22
kalītu,22
harrānu,22
budû,22
sartu,22
qerbu,22
Marduk-apla-iddina,22
raṣāpu,21
Aššur-šarru-uṣur,21
karru,21
madādu,21
nahallu,21
mušarkisu,21
kiṣru,21
šāqû,21
nūnu,21
Aššur-belu-taqqin,21
mê-šīri,21
tabarru,21
pānātu,20
dâlu,20
bābu,20
Aššur-bani,20
battu,20
halqu,20
šadādu,20
kussû,20
mūraku,20
battubattu,20
paṭāru,20
tahūmu,20
šabāšu,20
Ah-abu,20
šakintu,20
amru,20
šamû,20
irginu,20
bēru,20
Ituʾaya,19
mardītu,19
Urarṭaya,19
pitti,19
Guzana,19
rēhu,19
isītu,19
malāhu,19
šīti,19
Arahsamnu,19
kē,19
paššuru,19
Bel-šarru-uṣur,19
šizbu,19
kalbu,19
Ber,19
attunu,18
ṣīru,18
harāṣu,18
urû,18
šinīšu,18
Bit-Aššur,18
ebēru,18
kakardinnu,18
ēdumānu,18
mammanu-,18
unūtu,18
Sukkaya,18
Mannu-ki-Ninua,18
Nabu-ahu-iddina,18
Babilayu,18
Dadi,18
hurāpu,18
šazamû,18
Šarrat-nipha,18
madbaru,17
siparru,17
šina,17
galû,17
itinnu,17
nīqu,17
gammalu,17
biršu,17
Bel-ibni,17
pirsu,17
Ninuayu,17
ikribu,17
nīšu,17
kissatu,16
basi,16
Balassu,16
kullumu,16
gamru,16
parāsu,16
ayyaka,16
rīqu,16
Šamaš-belu-uṣur,16
šipšatu,16
qīpu,16
kaṣāru,16
Marduk-eriba,16
nāmurtu,16
Mannu-ki-Aššur,16
hubullu,16
ṣehru,16
Naṣibina,16
gulēnu,16
malû,16
pīlu,16
Nabu-šumu-iddina,16
Ṣalam-šarri-iqbi,16
La-qepu,16
Urdu-Nabu,16
sāyu,16
halṣu,16
Šulmu-šarri,16
Šamši-Adad,16
nasāku,16
zikru,16
eṣēdu,15
zakkû,15
nabalkutu,15
palhu,15
salāmu,15
šatû,15
haramma,15
Arbaya,15
maṣû,15
tebû,15
Elamaya,15
qinnu,15
ebūru,15
iṣu,15
Barhalza,15
riksu,15
Madaya,15
Duʾuzu,15
patru,15
leʾû,15
Ša-Nabu-šu,15
šupālītu-halluptu,15
Urdu,15
Salmanu-ašared,15
Nabu-eriba,15
Ahu-duri,15
Tabalayu,15
Nabu-rehtu-uṣur,15
rittu,15
kūtu,15
Inurti,15
nindanu,15
ṣābitu,15
Mar-Yakin,15
maṭû,14
Manna,14
nagāru,14
madaktu,14
muṭû,14
ašāru,14
maqtu,14
mašku,14
kanāku,14
šīpātu,14
ṣabtu,14
danānu,14
Libbalaya,14
pappardaliu,14
midru,14
Urdu-Nanaya,14
ṣarrāpu,14
Nabu-balassu-iqbi,14
Nargi,14
qatnu,14
nasīku,14
ibbītu,14
Milki-nuri,14
ṣēru,14
Kipanu,14
Addi,14
Kaldaya,14
Aššur-ahu-iddina,14
Ahu-leʾi,14
Zeru-ken,14
uṭṭatu,14
ṣarru,14
nabû,14
matīma,14
Dimašqa,13
marṣu,13
Kislimu,13
Ṣupat,13
qarābu,13
ṣillu,13
ammaka,13
kabāsu,13
uṣṣuṣu,13
udī-,13
Zeru-ibni,13
parriṣu,13
sartennu,13
pēthallu,13
šaddaqda,13
Nabu-šumu-uṣur,13
râmu,13
dekû,13
Izalla,13
habātu,13
paqdu,13
Mannu-ki-Adad,13
Nabu-duru-uṣur,13
kallāpu,13
nurmû,13
bītānu,13
kuzippu,13
kāṣiru,13
kakkabtu,13
iṣṣūru,13
qullu,13
birmu,13
bārû,13
dāmu,13
Zizi,13
Salamanu,13
naptanu,13
uqnû,13
amūmu,13
dārû,13
Sin-naʾdi,13
mimma,13
natbāku,13
kibtu,13
Inurta-šarru-uṣur,13
mazrūtu,13
Bel-iqbi,12
kutallu,12
maqarratu,12
appāru,12
Armaya,12
puršumu,12
Nabu-pašir,12
akiltu,12
rēmu,12
karmu,12
Arpadda,12
piqittu,12
Birate,12
nēberu,12
Keni,12
labīru,12
šinnu,12
ša-muhhi-bēti,12
taqānu,12
uznu,12
zakāru,12
sadru,12
šalāšī-,12
Gurraya,12
gimirtu,12
qaštu,12
Nergal-šarru-uṣur,12
Nabu-šumu-iškun,12
Enūma-Anu-Enlil,12
Nabu-sagibi,12
Issar-naʾdi,12
takkassu,12
nikkassu,12
guršu,12
aṣūdu,12
ahātu,12
Ahu-la-amašši,12
ašru,12
Bel-iqiša,12
mahāṣu,11
Muskaya,11
tarṣu,11
karāku,11
kapāru,11
Lutu,11
igāru,11
nakāsu,11
Sippar,11
Abu,11
alahhinu,11
Ešarra,11
zabālu,11
Ukkaya,11
hirītu,11
āšipu,11
Aššur-ilaʾi,11
mūlû,11
haṣbu,11
Šamaš-ilaʾi,11
šumû,11
Tuqunu-ereš,11
Remanni-ilu,11
Nabu-šallim,11
Zabinu,11
takkussu,11
hepû,11
Que,11
Šar-Issar,11
šūmū,11
šamaškillu,11
takbāru,11
Bel-naʾdi,11
ēribu,11
ṣēlu,11
Kummuhi,11
Ahu-iddina,11
Sinqi-Issar,11
Aššur-belu-uṣur,11
tupšikku,11
Ahuʾa-eriba,11
haṭû,11
Nabu-nadin-ahhe,11
Aššur-zeru-ibni,11
Dalta,11
Meturna,11
ezēbu,11
issahîš,10
šâṭu,10
ahāmiš,10
ēpišu,10
Til-Barsip,10
Bel-emuranni,10
Nabu-šezib,10
hurri,10
askuppu,10
namarkû,10
Aššur-reṣuwa,10
yamattu,10
damāqu,10
balṭu,10
labiānu,10
lišānu,10
lasāmu,10
maškuru,10
ayyu,10
qālu,10
nâdu,10
Adian,10
Adad-remanni,10
Puqudu,10
hasāsu,10
Quwe,10
asû,10
Aššur-killanni,10
ša-huṭāri,10
Ahu-lamur,10
āšipūtu,10
Lahiru,10
tappaštu,10
Bit-Eqi,10
Mazamua,10
gariṣtu,10
qalītu,10
Taʾuzu,10
Aššur-matu-taqqin,10
laʾu,10
rēštu,10
Eṭiru,10
Tašmetu,10
ṣiātu,10
šamšu,10
enzu,10
karaphu,10
nashu,10
Mannu-ki-Arbail,10
bennu,10
mamman,10
qebēru,10
bēlūtu,10
Puṭi-Eše,10
Kar-Šarrukin,10
Mar-Zeri,10
ebissu,9
Dannaya,9
dīku,9
ša-muhhi-āli,9
Hatarikka,9
nēšu,9
šaṭru,9
qarāru,9
Aššur-šumu-kaʾʾin,9
simānu,9
harāpu,9
Siʾimme,9
tabku,9
Kilizi,9
miksu,9
Halahhu,9
zunnu,9
qattinu,9
tabāku,9
gabarû,9
yāʾu,9
agappu,9
Nabu-šezibanni,9
uššu,9
Al-Aššur,9
Remutu,9
Šulmu-beli,9
darrû,9
napāhu,9
šahāṭu,9
Belu-lu-balaṭ,9
Nabu-šar-ahhešu,9
arītu,9
rimku,9
Bani,9
Mannu-ki-šarri,9
Šumma-izbu,9
Haurina,9
maṭi,9
ruqqu,9
kurissu,9
sāmtu,9
mizʾu,9
haršu,9
lemuttu,9
Šarru-ken,9
ša-rēš-šarri,9
qēmu,9
Nabu-remanni,9
Nippur,9
Nušku-ilaʾi,9
Šulmu-ahhe,9
Luqu,9
Banaya,9
Bulluṭu,9
zittu,9
Mar-larim,9
Šamaš-naṣir,9
Zabdi,9
Ibašši-ilani,9
harbakkannu,9
Nergal-eṭir,9
šalāṭu,9
Nabu-naʾid,9
biblu,9
rašû,9
ūlū,9
Abu-ul-idi,9
Balasi,9
Bit-Bunakki,9
Nabu-raʾim-nišešu,9
šubtu,8
balāt,8
mehru,8
šalšūmi,8
puāgu,8
kallû,8
kāsu,8
ishunnatu,8
Tille,8
Isana,8
Issete,8
šeleppāyu,8
Aššur-reši-išši,8
Ekallati,8
abāku,8
ša-maṣṣarti,8
Remanni-Adad,8
Nabu-leʾi,8
Adad-ibni,8
Taklak-ana-Bel,8
Arbayu,8
erbû,8
esēpu,8
raʾābu,8
mar-Babili,8
Uarbisi,8
Nabu-naṣir,8
qarrāru,8
ṣipirtu,8
Dari-šarru,8
Silim-Aššur,8
zibbatu,8
gidlu,8
išdu,8
Aššur-leʾi,8
Šep-Issar,8
ṣarhūtu,8
Ubru-Issar,8
išparu,8
māhiṣu,8
agannu,8
urīṣu,8
kimru,8
hulūṭu,8
marmēnu,8
ṭabtu,8
Gula,8
šasû,8
rubbû,8
Pan-Issar-lamur,8
ṣallu,8
Abdi,8
Aššur-remanni,8
Ṣalam-ahhe,8
šeʾu,8
Balṭi-Aya,8
Aqru,8
Hašanu,8
šuātunu,8
Palil-ereš,8
dikûtu,8
bānû,8
abšu,8
Nabu-šallim-ahhe,8
Urdu-Mullissi,8
šibšu,8
annaku,8
kuppû,8
kanāšu,8
Tarṣi,8
atru,7
kalzu,7
Urarṭu,7
mešēnu,7
niqittu,7
arāku,7
šâšu,7
Marduk-remanni,7
qabaltīu,7
raṣpu,7
akanni,7
hesû,7
nappāhu,7
Gidgiddanu,7
ṣēnu,7
rapšu,7
labāšu,7
nērebu,7
šuglû,7
zanānu,7
Šep-Aššur,7
urāsu,7
ziqqurratu,7
Ašpa-bara,7
Nabu-deʾiq,7
Upi,7
pagru,7
Gir-Dadi,7
Gabbu-amur,7
Šabirešu,7
Ṣidunaya,7
zâzu,7
mala,7
nēhu,7
Sadiru,7
etku,7
ahullâ,7
šanîš,7
ēdēnû,7
Bit-Nabu,7
māšartu,7
ṭuppi,7
Bel-eṭir,7
Kurbail,7
hašhūru,7
Mardi,7
Nabu-belu-uṣur,7
ugāru,7
makû,7
adakanni,7
qinītu,7
harīṣu,7
Barsip,7
naṣbatu,7
Šamaš-metu-uballiṭ,7
dušû,7
Mar-Issar,7
šeššu,7
Adallal,7
Bel-iddina,7
Ah-imme,7
Mušezib-Aššur,7
Mannu-ki-ahhe,7
nargallu,7
Šumma-ālu-ina-mēlê-šakin,7
Nabu-aplu-iddina,7
Nabu-ahhe-šallim,7
Mannu-ki-ṣabi,7
šatammu,7
muššāru,7
ṣuppu,7
miṣru,7
kakkullu,7
Samʾalla,7
Belšunu,7
Kullania,7
diqāru,7
bayyādu,7
saplišhu,7
Kalhaya,7
Didi,7
sapulhu,7
širiat,7
Gimiraya,7
arki,7
Nabu-kuṣuranni,7
kabsu,7
Tabalaya,7
awīlūtu,7
anīna,7
Kute,7
Bel-ahu-iddina,7
Kunaya,7
Huzirina,7
gurrutu,7
Šamaš-naʾdi,7
Remut-ili,7
Nabu-taqqinanni,7
Ahu-eriba,7
Adad-ahu-iddina,7
puhādu,7
Zababa,7
Šabbu,7
Ilumma-leʾi,7
šâtina,7
ul,7
šarāku,7
Nabu-ahu-uṣur,7
nekelmû,7
arkītu,7
šīmtu,7
Aššur-etel-ilani,7
Amurri,7
Urda-Inurta,7
Kur-ilaʾi,7
Gabbaru,7
tabriu,7
tarammu,7
Šumma-ilani,7
Hiriṣayu,7
Lansi,7
Dur-Bel-ilaʾi,7
Kummuhaya,6
Adia,6
hadû,6
timāli,6
Tabalu,6
isinnu,6
Muṣuraya,6
udû,6
ṣahittu,6
pūtuhhu,6
kakku,6
palû,6
kalāma,6
biātu,6
šazbussu,6
Ellipi,6
Ṭabi,6
Išmanni-Aššur,6
Samerina,6
annîša,6
Bab-bitqi,6
rādiu,6
išātu,6
mūbû,6
hiāṭu,6
Ṣimirra,6
īṣu,6
nawāru,6
qarbāte,6
mūšu,6
timmu,6
našāru,6
maškanu,6
Bit-Kidmuri,6
paʾāṣu,6
duqdu,6
karṣu,6
ukullû,6
ali,6
kabšarru,6
ša-bēti-šanie,6
mahṣu,6
kannu,6
Šulmu-beli-lašme,6
qermu,6
kusītu,6
maklalu,6
kubšu,6
nārtu,6
Nabu-reši-išši,6
Padi,6
Kaššaya,6
ša-bēt-kūdini,6
zuʾʾuzu,6
Aššur-gimillu-tere,6
Hanunu,6
Remanni-Issar,6
Mutakkil-Aššur,6
Dilil-Issar,6
bulṭu,6
durāʾu,6
Šumma-ilu,6
kišādu,6
bārûtu,6
huruhuru,6
qalû,6
hallam,6
kirrutu,6
appu,6
Adad-belu-uṣur,6
tarmazilu,6
Lu-šakin,6
Bit-Dagan,6
sahharu,6
kakkabānu,6
epinnu,6
hibiltu,6
kurru,6
apālu,6
Uruk,6
Ṣallaya,6
Kudurru,6
Marduk-šarrani,6
Hanana,6
Sarugi,6
Ahunu,6
Nušku,6
Hanni,6
Lit-ili,6
Bel-dan,6
Balihu,6
Birtu,6
Iddinaya,6
Nabu-tariṣ,6
Giritu,6
ṣehhertu,6
Tukulti-apil-Ešarra,6
Nur-Šamaš,6
Sangi-Issar,6
bīru,6
parsu,6
šeriktu,6
zarāpu,6
Šamaš-remanni,6
Nabu-nadin-ahi,6
narû,6
pālihu,6
nadû,6
itti,6
ūṣu,6
eṣidītu,6
ašlu,6
būru,6
Puṭiše,6
Aššur-naṣir,6
Aššur-garuʾa-nere,6
Susi,6
pazāru,6
Nabu-taklak,6
Adda-hati,5
sadāru,5
aṣappu,5
Hamat,5
Šamaš-ahu-iddina,5
Gimir,5
šapru,5
salmu,5
riāqu,5
esēhu,5
Zabban,5
kâšu,5
Nabu-zer-ketti-lešir,5
reʾû,5
šiāru,5
ša-ziqni,5
nakāru,5
Kumme,5
bārtu,5
Baqarru,5
Tariba-Issar,5
šalimtu,5
eṣemtu,5
Arihu,5
tabālu,5
pīqat,5
nību,5
Hallataya,5
Šarru-nuri,5
salāʾu,5
bêru,5
Waisi,5
nubattu,5
harṣu,5
Saʾilu,5
šipirtu,5
umāmu,5
lattu,5
būṣu,5
Apku,5
Bel-nuri,5
ragāmu,5
tābiu,5
Bahianu,5
Duri-Adad,5
Aššur-bessunu,5
Kuluman,5
šukuttu,5
kakkabu,5
elītu,5
nahlaptu,5
summu,5
ša-eperi,5
Nabu-eṭir,5
Ša-la-maše,5
Zarʾuti,5
Kulimmeri,5
Issar-nadin-ahhe,5
Nabu-killanni,5
Isputu,5
Iddin-ahhe,5
Nabu-zeru-iddina,5
Marduku,5
Ahu-ilaʾi,5
Meʾisu,5
Tušhan,5
Bel-abu-uṣur,5
Nušku-šarru-uṣur,5
Issar-šumu-iddina,5
kispu,5
Tabni,5
gungupinnu,5
umnīnu,5
ša-tāmarti,5
tamlītu,5
papparmīnu,5
hulālu,5
Zaruti,5
tittu,5
Šamaš-eriba,5
hurhurātu,5
hullānu,5
Aššurû,5
kabbaru,5
Šakil-Aya,5
Turi,5
habburu,5
Ešrayu,5
Nergal-ilaʾi,5
Muqallil-kabti,5
habālu,5
unīqu,5
erbe,5
šipṭu,5
šiāmu,5
bâru,5
pānītu,5
gubbu,5
Kiqillanu,5
lubbušu,5
musukkannu,5
Basani,5
Bit-Zamani,5
Mutaqqin-Aššur,5
Ubru-Aššur,5
sūqu,5
Nuraya,5
Ahuʾa,5
Mannu-ki-Libbali,5
šalhû,5
athusu,5
Kabar-il,5
barû,5
ezziš,5
ekēmu,5
Naʾdi-Issar,5
urkiš,5
Zababa-eriba,5
Mannu-ki-Nabu,5
Barruqu,5
zāriqu,5
bēltu,5
šunātunu,5
šalmiš,5
zummû,5
uggatu,5
kak-dāmi,5
baṣāru,5
Edu-šallim,5
sattukku,5
itqūru,5
Mannu-ki-mat-Aššur,5
kudimmu,5
kursinnu,5
rapaštu,5
maṣṣaru,5
paddugannu,5
Bel-ahu-uṣur,5
sinnišūtu,5
Adad-šumu-uṣur,5
Nabu-iqbi,5
Bel-leʾi,5
gerû,5
Upaqa-ana-Arbail,5
Nabu-šumu-lešir,5
Nergal-ahu-uṣur,5
sūqāqû,5
Badaya,5
Sairu,5
Šamaš-zeru-iqiša,5
menimeni,5
Ruʾuaya,5
buddudu,5
Malak,5
rahṣu,5
Minuʾ,5
Nabu-iqiša,5
Humbareš,5
Huzaza,4
Abu-lešir,4
Yaʾudaya,4
mūtānu,4
ahāzu,4
Quwaya,4
Nippuraya,4
Maʾabaya,4
Sin-ašared,4
tupninnu,4
Kummaya,4
Bel-liqbi,4
Ammi-leti,4
marāṣu,4
nāmaru,4
Hunni,4
tarbaṣu,4
šammu,4
Šadikannaya,4
enēšu,4
Suhu,4
ṭabāhu,4
Nemed-Ištar,4
tūra,4
Humbe,4
Habruri,4
batiqtu,4
Ilaʾi-Bel,4
kassupu,4
Kibabiše,4
Nabu-bel-šumati,4
habtu,4
Ariye,4
Talmusa,4
perku,4
šihlu,4
rammû,4
pallišu,4
Kina,4
Huli,4
Ahu-lurši,4
Amar-ili,4
Mardu,4
kāribu,4
niphu,4
Ašipa,4
Hamataya,4
Birataya,4
bēdu,4
gullutu,4
hardu,4
gugallu,4
kilīlu,4
Nabu-balliṭ,4
Nergal-naṣir,4
Nagaha,4
Mat-Akkadi,4
šāru,4
Lubda,4
kasāpu,4
dayyālu,4
simtu,4
emdu,4
erbu,4
sanāqu,4
dumqu,4
Larak,4
qerītu,4
lānu,4
Šamaš-iddina,4
raddidu,4
tugānû,4
šahartu,4
Abdaʾ,4
Aššur-šumu-iddina,4
Ṣalmu,4
Qarha,4
lubuštu,4
ša-parāki,4
Hattaya,4
ša-pattūti,4
tarbû,4
ša-pān-sūqi,4
abūsu,4
Aššur-daʾʾinanni,4
Qurdi-Aššur,4
Gadda,4
Nuhšaya,4
Nabu-nadin-apli,4
Tuti,4
Dadi-iqbi,4
Dannu-Nergal,4
Ituʾu,4
Silim-ili,4
Dani,4
Bel-ahhešu,4
Il-dala,4
Mannu-ki-Issar-leʾi,4
Kinanni-Issar,4
Šamaš-šallim,4
Aššur-iddin,4
Pulu,4
Šumma-ussezib,4
alandimmû,4
Iqqur-īpuš,4
zīqīqu,4
Mušezib-Nabu,4
Il-idri,4
Garruṣu,4
kamānu,4
Sagab,4
Belet-Akkad,4
yašpû,4
šalṭu,4
suluppu,4
Sagmegar,4
Magidu,4
Manṣuati,4
Ṣabu-damqu,4
siluh,4
karballatu,4
šušippu,4
šullušu,4
merṭu,4
Parsua,4
Nabu-ahhe-eriba,4
ṣurru,4
akbaru,4
ša-kāribi,4
lipištu,4
bandillu,4
Bel-ahhe-riba,4
Lisikutu,4
Šarrat-samme,4
ṣerru,4
lumnu,4
bašlu,4
tayāru,4
Kiṣir-Issar,4
qutāru,4
ellu,4
mehṣu,4
sāgu,4
Ezbu,4
haṭṭu,4
ziqqu,4
tuqnu,4
hissatu,4
atti,4
mūru,4
haṣānu,4
šarāpu,4
kallâmāre,4
puhru,4
Tamnuna,4
Balaṭu,4
batultu,4
Nušku-šezibanni,4
ṣarbatu,4
Sin-ereš,4
Taʾla,4
Assi,4
Hana-Seʾ,4
Ahu-nuri,4
Nabu-uṣalli,4
Gambulaya,4
